0.0,2.0155698558562496
0.0001,1.9663633426726859
0.0002,1.917298270476212
0.0003,1.868375724335611
0.0004,1.819596783696711
0.0005,1.770962522345235
0.0006,1.7224740083721777
0.0007,1.674132304136008
0.0008,1.6259384662280976
0.0009,1.5778935454360148
0.001,1.5299985867090027
0.0011,1.4822546291223666
0.0012,1.4346627058427035
0.0013,1.3872238440927862
0.0014,1.3399390651180842
0.0015,1.292809384150952
0.0016,1.2458358103781442
0.0017,1.1990193469061454
0.0018,1.152360990727643
0.0019,1.1058617326885463
0.002,1.0595225574548046
0.0021,1.0133444434796273
0.0022,0.9673283629706005
0.0023,0.9214752818575005
0.0024,0.8757861597603063
0.0025,0.8302619499575595
0.0026,0.7849035993539294
0.0027,0.7397120484496653
0.0028,0.6946882313088576
0.0029,0.6498330755290389
0.003,0.6051475022109349
0.0031,0.560632425926576
0.0032,0.5162887546901902
0.0033,0.4721173899292946
0.0034,0.42811922645285727
0.0035,0.3842951524242262
0.0036,0.3406460493301352
0.0037,0.29717279195343455
0.0038,0.2538762483427425
0.0039,0.21075727978592118
0.004,0.16781674078166484
0.0041,0.12505547900984684
0.0042,0.08247433530678351
0.0043,0.04007414363563061
0.0044,-0.0021442689388493697
0.0045,-0.04418008227859934
0.0046,-0.08603248319705327
0.0047,-0.12770066548734904
0.0048,-0.16918382994636894
0.0049,-0.21048118440195918
0.005,-0.2515919437363744
0.0051,-0.29251532991399365
0.0052,-0.33325057200362285
0.0053,-0.3737969062051177
0.0054,-0.41415357587248086
0.0055,-0.454319831538101
0.0056,-0.4942949309363961
0.0057,-0.5340781390279531
0.0058,-0.5736687280221283
0.0059,-0.6130659774000943
0.006,-0.6522691739373406
0.0061,-0.6912776117260754
0.0062,-0.7300905921977758
0.0063,-0.7687074241444468
0.0064,-0.8071274237402281
0.0065,-0.8453499145621558
0.0066,-0.8833742276128133
0.0067,-0.9211997013388077
0.0068,-0.9588256816523274
0.0069,-0.9962515219510099
0.006999999999999999,-1.0334765831377606
0.0071,-1.0705002336405713
0.0072,-1.1073218494308987
0.0073,-1.1439408140433331
0.0074,-1.1803565185940266
0.0075,-1.2165683617988725
0.0076,-1.2525757499918342
0.0077,-1.2883780971422294
0.0078,-1.3239748248734573
0.0079,-1.3593653624779483
0.008,-1.3945491469359397
0.0081,-1.4295256229323645
0.0082,-1.464294242870907
0.0083,-1.4988544668921828
0.0084,-1.5332057628876965
0.0085,-1.5673476065176726
0.0086,-1.6012794812231264
0.0087,-1.635000878243049
0.0088,-1.6685112966277202
0.0089,-1.701810243253559
0.009000000000000001,-1.7348972328364352
0.0091,-1.7677717879452806
0.0092,-1.80043343901664
0.0093,-1.8328817243659496
0.0094,-1.8651161902010938
0.0095,-1.8971363906354208
0.0096,-1.9289418876975277
0.0097,-1.9605322513468066
0.0098,-1.9919070594814419
0.0099,-2.0230658979516227
0.01,-2.0540083605695267
0.0101,-2.0847340491199
0.0102,-2.1152425733712814
0.0103,-2.1455335510849953
0.0104,-2.1756066080251832
0.0105,-2.205461377967894
0.0106,-2.2350975027106204
0.0107,-2.2645146320812404
0.0108,-2.2937124239452182
0.0109,-2.3226905442152916
0.011000000000000001,-2.351448666858176
0.0111,-2.379986473902265
0.0112,-2.4083036554456254
0.0113,-2.436399909662505
0.0114,-2.4642749428091446
0.0115,-2.491928469230831
0.0116,-2.5193602113684017
0.0117,-2.5465698997627197
0.0118,-2.5735572730606298
0.0119,-2.600322078020672
0.012,-2.6268640695162118
0.0121,-2.6531830105414986
0.0122,-2.679278672214995
0.0123,-2.705150833783448
0.0124,-2.7307992826251684
0.0125,-2.756223814253459
0.0126,-2.7814242323192455
0.0127,-2.8064003486142557
0.0128,-2.831151983072559
0.0129,-2.855678963772903
0.013000000000000001,-2.8799811269403994
0.0131,-2.9040583169478675
0.0132,-2.9279103863169254
0.0133,-2.951537195718388
0.0134,-2.974938613973061
0.0135,-2.998114518051545
0.0136,-3.02106479307428
0.0137,-3.043789332310905
0.0138,-3.06628803717946
0.0139,-3.0885608172454933
0.013999999999999999,-3.1106075902202726
0.0141,-3.132428281958997
0.0142,-3.154022826459358
0.0143,-3.175391165858259
0.0144,-3.196533250430077
0.0145,-3.217449038582941
0.0146,-3.238138496855249
0.0147,-3.2586015999138356
0.0148,-3.278838330548157
0.0149,-3.2988486796658734
0.015,-3.318632646290461
0.0151,-3.3381902375541626
0.0152,-3.3575214686942596
0.0153,-3.376626363047411
0.0154,-3.3955049520426988
0.0155,-3.4141572751969598
0.0156,-3.4325833801085253
0.0157,-3.4507833224494258
0.0158,-3.468757165958981
0.0159,-3.486504982436796
0.016,-3.5040268517346185
0.0161,-3.5213228617491823
0.0162,-3.5383931084130706
0.0163,-3.555237695687612
0.0164,-3.5718567355520525
0.0165,-3.588250347996354
0.0166,-3.6044186610110103
0.0167,-3.620361810577363
0.0168,-3.6360799406574666
0.0169,-3.6515732031840584
0.017,-3.6668417580494284
0.0171,-3.681885773095737
0.0172,-3.6967054241024453
0.0173,-3.7113008947749435
0.0174,-3.7256723767344653
0.0175,-3.739820069503089
0.0176,-3.7537441804939014
0.0177,-3.7674449249968927
0.0178,-3.780922526166886
0.0179,-3.7941772150090833
0.018000000000000002,-3.8072092303661007
0.0181,-3.820018818905105
0.0182,-3.8326062351017196
0.0183,-3.844971741226216
0.0184,-3.857115607330203
0.0185,-3.8690381112292904
0.0186,-3.880739538489431
0.0187,-3.8922201824103295
0.0188,-3.9034803440100947
0.0189,-3.91452033200865
0.019,-3.925340462811341
0.0191,-3.9359410604922473
